Id,Carriers,Total_Number,Average_Departure_Delay,Average_Taxi_Out,Average_Departure_to_Take-off(scheduled),Average_Arrival_Delay,Average_Airborne_Time,Average_Taxi_In,Number_Cancelled,Percent_Cancelled,Number_Diverted,Percent_Diverted
21-a,ALL*,732,8.52,16.71,17.35,6.37,119.68,11.35,1,0.13,2,0.27
21-a,AA,324,10.58,18.57,24.70,9.42,121.20,12.90,1,0.30,1,0.30
21-a,DL,364,5.40,15.44,12.93,2.39,118.29,9.64,0,0.00,1,0.27
21-a,NK,44,19.20,13.50,-0.02,16.86,119.95,14.20,0,0.00,0,0.00
21-b,ALL*,506,6.76,15.97,17.03,3.61,119.33,11.45,1,0.19,1,0.19
21-b,AA,229,10.25,17.63,21.57,7.91,120.54,13.15,1,0.43,0,0.00
21-b,DL,247,2.06,14.76,16.82,-1.90,118.09,9.60,0,0.00,1,0.40
21-b,NK,30,18.96,13.30,-15.73,16.20,120.26,13.66,0,0.00,0,0.00
21-c,ALL*,789,9.28,17.58,21.31,10.48,120.57,11.89,11,1.39,1,0.12
21-c,AA,325,8.42,18.86,27.28,11.11,123.03,13.57,11,3.38,0,0.00
21-c,DL,422,9.19,16.70,15.66,9.45,118.88,10.63,0,0.00,1,0.23
21-c,NK,42,16.66,16.85,33.52,16.14,119.07,12.16,0,0.00,0,0.00
22-a,ALL*,"1,144",0.03,13.18,13.21,-0.21,21.95,6.35,0,0.00,0,0.00
22-a,HA,"1,144",0.03,13.18,13.21,-0.21,21.95,6.35,0,0.00,0,0.00
22-b,ALL*,667,20.35,20.47,27.37,15.48,109.31,12.70,25,3.74,0,0.00
22-b,AA,183,23.01,21.81,36.45,15.00,110.29,14.05,11,6.01,0,0.00
22-b,F9,61,20.01,22.95,18.96,11.28,109.70,13.63,1,1.63,0,0.00
22-b,NK,42,31.43,16.51,47.95,27.36,110.00,16.29,1,2.38,0,0.00
22-b,UA,381,17.94,19.88,22.21,15.07,108.71,11.52,12,3.14,0,0.00
22-c,ALL*,639,11.49,20.88,30.12,4.41,110.34,12.22,6,0.93,0,0.00
22-c,AA,153,12.19,21.27,33.47,3.05,110.45,14.78,2,1.30,0,0.00
22-c,F9,44,5.00,22.00,-6.48,-1.09,108.67,11.53,1,2.27,0,0.00
22-c,MQ,5,12.20,14.20,26.40,6.40,116.80,16.00,0,0.00,0,0.00
22-c,NK,44,12.93,16.42,29.78,7.85,111.07,14.52,2,4.54,0,0.00
22-c,UA,393,11.77,21.17,32.94,5.14,110.32,11.02,1,0.25,0,0.00
23-a,ALL*,445,5.19,18.03,23.25,-4.53,110.59,12.11,2,0.44,0,0.00
23-a,AA,107,-0.93,18.12,17.18,-12.12,110.71,15.20,0,0.00,0,0.00
23-a,F9,30,0.23,17.86,18.10,-9.40,109.00,11.50,0,0.00,0,0.00
23-a,MQ,5,12.20,14.20,26.40,6.40,116.80,16.00,0,0.00,0,0.00
23-a,NK,30,12.13,17.10,29.82,6.41,111.03,12.55,1,3.33,0,0.00
23-a,UA,273,7.26,18.18,25.44,-2.38,110.55,10.84,1,0.36,0,0.00
23-b,ALL*,894,23.71,18.58,42.29,23.55,72.23,7.51,57,6.37,2,0.22
23-b,AS,228,16.05,20.55,36.61,19.86,72.34,7.89,18,7.89,1,0.43
23-b,OO,84,23.32,21.44,44.76,26.39,74.64,9.32,6,7.14,0,0.00
23-b,UA,267,26.36,20.29,46.66,26.37,71.87,7.11,2,0.74,1,0.37
23-b,WN,315,27.00,14.73,41.74,22.87,71.83,7.10,31,9.84,0,0.00
23-c,ALL*,"1,325",-1.78,13.33,11.55,-1.96,22.17,6.63,5,0.37,0,0.00
